[SINR game results] [Date]
-15        2014-05-15 00:24:20.108000        
-16        2014-05-15 00:25:37.706000        
-18        2014-05-15 00:26:55.533000        
-16        2014-05-15 00:28:10.403000        
-21        2014-05-15 00:29:26.492000        
-16        2014-05-15 00:30:46.446000        
-21        2014-05-15 00:32:05.289000        
-16        2014-05-15 00:33:21.836000        
-22        2014-05-15 00:34:37.048000        
-15        2014-05-15 01:07:54.365000        
-15        2014-05-15 01:09:14.605000        
-11        2014-05-15 01:10:33.829000        
-18        2014-05-15 01:11:49.246000        
-11        2014-05-15 01:13:07.070000        
-19        2014-05-15 01:14:23.961000        
-10        2014-05-15 01:15:39.337000        
-20        2014-05-15 01:16:54.160000        
-10        2014-05-15 01:18:13.499000        
-15        0.000270399330781        1.8695589493e-05        2014-05-15 01:35:31.333000        
-14        0.000234442690691        1.84366315307e-05        2014-05-15 01:36:49.720000        
-12        0.000293143828429        2.28187489824e-05        2014-05-15 01:38:09.300000        
-16        0.000334245613849        1.82883089386e-05        2014-05-15 01:39:28.292000        
-12        0.000328416340992        1.68720789754e-05        2014-05-15 01:40:49.313000        
-16        0.000358263166996        1.84773258539e-05        2014-05-15 01:42:09.902000        
-10        0.000346483998243        2.20932807695e-05        2014-05-15 01:43:26.153000        
-12        0.000345891247904        3.90481336705e-05        2014-05-15 01:44:45.135000        
-13        0.000366212108912        1.47605908875e-05        2014-05-15 01:46:02.625000        
