[transmission power] [direct gain] [cross gain] [Date]
-15        -38.4798336084        -44.591747        2014-05-15 19:38:33.918000        
-15        -37.8788354541        -44.3506942636        2014-05-15 19:39:48.871000        
-15        -37.5199275712        -44.572722648        2014-05-15 19:41:05.417000        
-16        -37.2912290354        -44.4992881564        2014-05-15 19:42:21.911000        
-17        -37.2912290354        -44.4992881564        2014-05-15 19:42:21.919000        
-15        -38.8443656405        -43.7733271914        2014-05-15 20:18:21.286000        
-15        -38.6159641877        -45.1179351558        2014-05-15 20:19:41.908000        
-16        -37.1060143568        -43.8317818544        2014-05-15 20:20:58.270000        
-17        -37.5922708965        -44.8867852552        2014-05-15 20:22:13.263000        
-18        -37.5922708965        -44.8867852552        2014-05-15 20:22:13.271000        
