[direct gain] [cross gain] [transmission power] [Date]
-15        -47.5586714252        -53.5138121946        2014-05-15 02:15:52.033000        
-15        -47.5451869632        -53.7197291078        2014-05-15 02:17:06.028000        
-15        -48.1182964258        -53.9470765886        2014-05-15 02:18:24.007000        
-15        -48.1739188799        -53.7069529134        2014-05-15 02:19:40.360000        
-18        -48.3366385578        -55.8899173008        2014-05-15 02:20:59.154000        
-16        -47.3148263792        -54.474804622        2014-05-15 02:22:15.737000        
-19        -47.1592668857        -54.6476506075        2014-05-15 02:23:35.139000        
-14        -49.1757720146        -53.1686339059        2014-05-15 02:24:51.695000        
-24        -44.4475771904        -54.2785967244        2014-05-15 02:26:07.978000        
-15        -37.9961995443        -49.1427107622        2014-05-15 17:15:36.741000        
-17        -37.2449518632        -50.7902268676        2014-05-15 17:16:53.584000        
-11        -36.8824002532        -46.6314911817        2014-05-15 17:18:07.748000        
-15        -36.77041805        -47.9671289225        2014-05-15 18:39:38.898000        
-15        -36.7281569051        -46.8224854707        2014-05-15 18:40:54.754000        
