# t [s]	f [Hz]	P [dBm]
0.316000	2421979448.000000	-58.620000

0.332000	2421979448.000000	-57.700000

0.350000	2421979448.000000	-59.070000

0.366000	2421979448.000000	-58.320000

0.383000	2421979448.000000	-58.480000

0.399000	2421979448.000000	-58.210000

0.417000	2421979448.000000	-57.950000

0.433000	2421979448.000000	-57.860000

0.450000	2421979448.000000	-58.020000

0.466000	2421979448.000000	-58.000000

0.484000	2421979448.000000	-58.330000

0.500000	2421979448.000000	-58.220000

0.517000	2421979448.000000	-57.810000

0.533000	2421979448.000000	-57.870000

0.551000	2421979448.000000	-58.780000

0.567000	2421979448.000000	-57.730000

0.584000	2421979448.000000	-58.240000

0.600000	2421979448.000000	-57.870000

0.618000	2421979448.000000	-58.060000

0.634000	2421979448.000000	-58.790000

0.651000	2421979448.000000	-57.810000

0.667000	2421979448.000000	-58.490000

0.685000	2421979448.000000	-58.060000

0.701000	2421979448.000000	-58.110000

0.719000	2421979448.000000	-58.200000

0.734000	2421979448.000000	-58.000000

0.752000	2421979448.000000	-58.330000

0.768000	2421979448.000000	-58.170000

0.786000	2421979448.000000	-58.380000

0.802000	2421979448.000000	-58.240000

0.819000	2421979448.000000	-58.020000

0.835000	2421979448.000000	-58.330000

0.853000	2421979448.000000	-58.620000

0.869000	2421979448.000000	-57.750000

0.886000	2421979448.000000	-58.130000

0.902000	2421979448.000000	-58.580000

0.920000	2421979448.000000	-58.660000

0.936000	2421979448.000000	-58.130000

0.953000	2421979448.000000	-58.200000

0.969000	2421979448.000000	-58.310000

0.987000	2421979448.000000	-58.260000

1.003000	2421979448.000000	-58.070000

1.020000	2421979448.000000	-58.590000

1.036000	2421979448.000000	-58.440000

1.054000	2421979448.000000	-57.620000

1.070000	2421979448.000000	-58.840000

1.087000	2421979448.000000	-58.340000

1.103000	2421979448.000000	-58.200000

1.121000	2421979448.000000	-58.210000

1.137000	2421979448.000000	-58.160000

1.154000	2421979448.000000	-58.310000

1.170000	2421979448.000000	-58.170000

1.188000	2421979448.000000	-58.050000

1.204000	2421979448.000000	-58.820000

1.222000	2421979448.000000	-58.500000

1.238000	2421979448.000000	-58.630000

1.255000	2421979448.000000	-59.020000

1.271000	2421979448.000000	-58.000000

1.289000	2421979448.000000	-57.730000

1.305000	2421979448.000000	-58.060000

1.322000	2421979448.000000	-57.810000

1.338000	2421979448.000000	-57.910000

1.356000	2421979448.000000	-58.370000

1.372000	2421979448.000000	-58.640000

1.390000	2421979448.000000	-58.210000

1.405000	2421979448.000000	-58.060000

1.423000	2421979448.000000	-58.270000

1.439000	2421979448.000000	-58.850000

1.457000	2421979448.000000	-58.490000

1.472000	2421979448.000000	-58.490000

1.490000	2421979448.000000	-58.500000

1.506000	2421979448.000000	-57.490000

1.524000	2421979448.000000	-58.200000

1.540000	2421979448.000000	-58.060000

1.557000	2421979448.000000	-58.260000

1.576000	2421979448.000000	-57.850000

1.594000	2421979448.000000	-58.150000

1.610000	2421979448.000000	-58.230000

1.628000	2421979448.000000	-57.850000

1.644000	2421979448.000000	-58.660000

1.661000	2421979448.000000	-58.110000

1.677000	2421979448.000000	-58.480000

1.695000	2421979448.000000	-58.750000

1.711000	2421979448.000000	-58.020000

1.728000	2421979448.000000	-58.390000

1.744000	2421979448.000000	-58.280000

1.773000	2421979448.000000	-58.280000

1.842000	2421979448.000000	-57.640000

1.911000	2421979448.000000	-58.610000

1.983000	2421979448.000000	-57.750000

2.054000	2421979448.000000	-57.860000

2.124000	2421979448.000000	-58.790000

2.194000	2421979448.000000	-75.330000

2.228000	2421979448.000000	-91.590000

2.244000	2421979448.000000	-76.150000

2.262000	2421979448.000000	-92.780000

2.278000	2421979448.000000	-92.910000

2.295000	2421979448.000000	-90.630000

2.311000	2421979448.000000	-92.490000

2.329000	2421979448.000000	-92.820000

2.345000	2421979448.000000	-92.520000

2.363000	2421979448.000000	-92.950000

2.379000	2421979448.000000	-92.180000

2.396000	2421979448.000000	-91.820000

2.412000	2421979448.000000	-92.050000

2.430000	2421979448.000000	-92.580000

2.446000	2421979448.000000	-92.710000

2.464000	2421979448.000000	-90.290000

2.480000	2421979448.000000	-90.100000

2.498000	2421979448.000000	-92.050000

2.513000	2421979448.000000	-91.270000

2.531000	2421979448.000000	-92.570000

2.547000	2421979448.000000	-93.070000

2.565000	2421979448.000000	-92.470000

2.581000	2421979448.000000	-92.820000

2.599000	2421979448.000000	-91.840000

2.615000	2421979448.000000	-91.890000

2.632000	2421979448.000000	-92.060000

2.648000	2421979448.000000	-92.120000

2.666000	2421979448.000000	-91.500000

2.682000	2421979448.000000	-91.090000

2.700000	2421979448.000000	-93.180000

2.716000	2421979448.000000	-75.100000

2.734000	2421979448.000000	-92.410000

2.750000	2421979448.000000	-92.110000

2.767000	2421979448.000000	-76.780000

2.783000	2421979448.000000	-76.670000

2.801000	2421979448.000000	-75.080000

2.817000	2421979448.000000	-89.250000

2.835000	2421979448.000000	-91.800000

2.850000	2421979448.000000	-92.670000

2.868000	2421979448.000000	-83.680000

2.884000	2421979448.000000	-90.090000

2.902000	2421979448.000000	-91.760000

