[direct gain] [cross gain] [transmission power] [Date]
-15        -36.8485331493        -47.5614266845        2014-05-15 02:15:52.026000        
-16        -35.5875488722        -47.5714430996        2014-05-15 02:17:06.025000        
-16        -35.566427466        -47.5039687862        2014-05-15 02:18:24.004000        
-17        -35.4929557167        -47.4427660363        2014-05-15 02:19:40.356000        
-15        -37.267492244        -47.6276551365        2014-05-15 02:20:59.151000        
-18        -36.1189618639        -47.3250248078        2014-05-15 02:22:15.733000        
-16        -35.5241659184        -46.8666588622        2014-05-15 02:23:35.136000        
-22        -34.827882361        -49.1342687613        2014-05-15 02:24:51.691000        
-12        -35.2885636009        -44.6552910595        2014-05-15 02:26:07.974000        
-15        -31.4883365517        -51.3866495107        2014-05-15 17:15:36.737000        
-13        -31.8613701532        -49.296119344        2014-05-15 17:16:53.580000        
-18        -31.9645535093        -54.0101791633        2014-05-15 17:18:07.744000        
-15        -31.5529185016        -49.2058584418        2014-05-15 18:39:38.895000        
-15        -31.7536769202        -64.0796729941        2014-05-15 18:40:54.752000        
