[SINR game results] [Date]
-15        2014-05-14 22:35:41.660000        
-17        2014-05-14 22:37:00.846000        
-13        2014-05-14 22:38:16.583000        
-20        2014-05-14 22:39:35.873000        
-13        2014-05-14 22:40:56.558000        
-22        2014-05-14 22:42:17.825000        
-16        2014-05-14 22:43:37.798000        
-21        2014-05-14 22:44:55.102000        
-20        2014-05-14 22:46:10.329000        
-22        2014-05-14 22:47:26.239000        
-20        2014-05-14 22:48:43.518000        
-20        2014-05-14 22:50:01.740000        
-25        2014-05-14 22:51:17.192000        
-19        2014-05-14 22:52:34.632000        
-24        2014-05-14 22:53:57.482000        
-23        2014-05-14 22:55:23.151000        
-23        2014-05-14 22:56:46.520000        
-24        2014-05-14 22:58:04.252000        
-26        2014-05-14 22:59:23.732000        
-22        2014-05-14 23:01:16.847000        
-26        2014-05-14 23:02:32.437000        
-23        2014-05-14 23:03:51.249000        
